BGC	Core Biosynthetic Protein type	Protein identifier	Protein Id	Gene Id	Domain architecture
JCM4529.region01	lanthipeptide-class-iii	JCM4529.region01~L0+CDS13	WP_193515199.1	lanKC	 >
JCM4529.region02	lanthipeptide-class-i	JCM4529.region02~L0+CDS10	WP_062137678.1		 >
JCM4529.region02	lanthipeptide-class-i	JCM4529.region02~L0+CDS11	WP_193515213.1		 >
JCM4529.region03	NRPS	JCM4529.region03~L0+CDS16	WP_193515230.1		C | A >
JCM4529.region03	NRPS	JCM4529.region03~L0+CDS17	WP_193515231.1		C | A | A_C | C | A | A_C >
JCM4529.region03	NRPS	JCM4529.region03~L0+CDS18	WP_193515232.1		A | A_C >
JCM4529.region04	NRPS	JCM4529.region04~L0+CDS20	WP_193515275.1		A | A_C | C | C | A | A_C | C | C | A | A_C >
JCM4529.region05	RiPP-like	JCM4529.region05~L0+CDS3	WP_019327743.1		 >
JCM4529.region06	terpene	JCM4529.region06~L0+CDS12	WP_031015914.1		Terpene_syn_C_2 >
JCM4529.region07	NRPS-like	JCM4529.region07~L0+CDS16	WP_193515417.1		A >
JCM4529.region08	PKS-like	JCM4529.region08~L0+CDS20	WP_127433189.1		 >
JCM4529.region08	furan	JCM4529.region08~L0+CDS28	WP_127433186.1		 >
JCM4529.region08	lanthipeptide-class-v	JCM4529.region08~L0+CDS53	WP_019324895.1	lxmK	 >
JCM4529.region08	lanthipeptide-class-v	JCM4529.region08~L0+CDS54	WP_019324896.1		 >
JCM4529.region09	lanthipeptide-class-iii	JCM4529.region09~L0+CDS9	WP_193515456.1	lanKC	 >
JCM4529.region10	terpene	JCM4529.region10~L0+CDS9	WP_031022222.1		Terpene_syn_C_2 | Terpene_syn_C_2 >
JCM4529.region11	RiPP-like	JCM4529.region11~L0+CDS6	WP_127433900.1		 >
JCM4529.region12	siderophore	JCM4529.region12~L0+CDS4	WP_193515552.1		IucA_IucC >
JCM4529.region13	terpene	JCM4529.region13~L0+CDS12	WP_193515583.1	uppS	SQS_PSY >
JCM4529.region14	indole	JCM4529.region14~L0+CDS13	WP_046250622.1		DMAT >
JCM4529.region15	siderophore	JCM4529.region15~L0+CDS5	WP_127434162.1		IucA_IucC >
JCM4529.region16	melanin	JCM4529.region16~L0+CDS6	WP_193515885.1		 >
JCM4529.region17	T1PKS	JCM4529.region17~L0+CDS1	WP_193515939.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT >
JCM4529.region17	T1PKS	JCM4529.region17~L0+CDS2	WP_193450364.1		KS | KS_C | KS_Ce | AT | KR >
JCM4529.region17	T1PKS	JCM4529.region17~L0+CDS3			KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR >
JCM4529.region18	terpene	JCM4529.region18~L0+CDS10	WP_046248604.1	shc	SQ_hopN | SQ_hopC >
JCM4529.region18	terpene	JCM4529.region18~L0+CDS13	WP_062135483.1	hpnD	SQS_PSY >
JCM4529.region18	terpene	JCM4529.region18~L0+CDS14	WP_193515922.1	hpnC	SQS_PSY >
JCM4529.region19	NRPS	JCM4529.region19~L0+CDS18	WP_019328469.1		A >
JCM4529.region19	NRPS	JCM4529.region19~L0+CDS40	WP_031019366.1		C >
JCM4529.region20	T3PKS	JCM4529.region20~L0+CDS18	WP_137960703.1		ChS_N | ChS_C >
JCM4529.region21	lanthipeptide-class-i	JCM4529.region21~L0+CDS14	WP_125537283.1		 >
JCM4529.region21	lanthipeptide-class-i	JCM4529.region21~L0+CDS15	WP_125537282.1		 >
JCM4529.region21	lanthipeptide-class-i	JCM4529.region21~L0+CDS16	WP_193516193.1	fxlM	 >
JCM4529.region22	T2PKS	JCM4529.region22~L0+CDS28	WP_019326887.1		KS | KS_C >
JCM4529.region22	T2PKS	JCM4529.region22~L0+CDS29	WP_127438225.1		KS | KS_C >
JCM4529.region23	terpene	JCM4529.region23~L0+CDS10	WP_078855219.1		Terpene_syn_C_2 >
JCM4529.region24	ectoine	JCM4529.region24~L0+CDS5	WP_019329312.1		 >
