BGC	Core Biosynthetic Protein type	Protein identifier	Protein Id	Gene Id	Domain architecture
SID8161.region01	terpene	SID8161.region01~L0+CDS10	WP_164285511.1		Terpene_syn_C_2 >
SID8161.region02	lanthipeptide-class-i	SID8161.region02~L0+CDS1	WP_164286402.1		 >
SID8161.region02	lanthipeptide-class-i	SID8161.region02~L0+CDS2	WP_164286405.1		 >
SID8161.region03	terpene	SID8161.region03~L0+CDS5	WP_062133531.1		Terpene_syn_C_2 >
SID8161.region04	butyrolactone	SID8161.region04~L0+CDS6	WP_164288106.1		 >
SID8161.region05	T1PKS	SID8161.region05~L0+CDS1	WP_164285568.1		KS | KS_C | KS_Ce | AT | KR >
SID8161.region05	T1PKS	SID8161.region05~L0+CDS2	WP_164285570.1		KS | KS_C | KS_Ce | AT | DH >
SID8161.region06	T3PKS	SID8161.region06~L0+CDS12	WP_030969077.1		ChS_N | ChS_C >
SID8161.region07	NRPS	SID8161.region07~L0+CDS1	WP_164286579.1		A | A_C | C | C | A | A_C >
SID8161.region08	hglE-KS	SID8161.region08~L0+CDS2			KS | KS_C | KS_Ce | KS >
SID8161.region09	NRPS	SID8161.region09~L0+CDS1	WP_164287282.1		C | A | A_C | C >
SID8161.region10	NRPS	SID8161.region10~L0+CDS2	WP_164285208.1		C | A | A_C | C >
SID8161.region11	lanthipeptide-class-iii	SID8161.region11~L0+CDS1	WP_164289131.1		 >
SID8161.region12	lanthipeptide-class-i	SID8161.region12~L0+CDS7	WP_164285589.1		 >
SID8161.region12	lanthipeptide-class-i	SID8161.region12~L0+CDS8	WP_164285591.1		 >
SID8161.region13	terpene	SID8161.region13~L0+CDS2	WP_164286678.1		SQS_PSY >
SID8161.region14	terpene	SID8161.region14~L0+CDS2	WP_030973607.1		Terpene_syn_C_2 >
SID8161.region15	terpene	SID8161.region15~L0+CDS3	WP_164287559.1		LycC >
SID8161.region16	T2PKS	SID8161.region16~L0+CDS1	WP_164288174.1		KS | KS_C >
SID8161.region16	T2PKS	SID8161.region16~L0+CDS2	WP_019326887.1		KS | KS_C >
SID8161.region17	PKS-like	SID8161.region17~L0+CDS3	WP_164284712.1		 >
SID8161.region18	NRPS-like	SID8161.region18~L0+CDS1	WP_164290158.1		A | A_C | KS | KS_C >
SID8161.region19	NRPS-like	SID8161.region19~L0+CDS1	WP_164288479.1		A | A_C >
SID8161.region20	terpene	SID8161.region20~L0+CDS1	WP_031022222.1		Terpene_syn_C_2 | Terpene_syn_C_2 >
SID8161.region21	T1PKS	SID8161.region21~L0+CDS1	WP_164286682.1		KS_C | KS_Ce | AT >
SID8161.region22	T2PKS	SID8161.region22~L0+CDS5	WP_164287224.1		KS | KS_C >
