BGC	antiSMASH products	Core Biosynthetic Protein content	Core Biosynthetic Protein IDs	Core Biosynthetic Protein Identifiers	Metabolites
NRRL_B-12102.region01	NRPS-like	NRPS-like	WP_185912834.1	NRRL_B-12102.region01~L0+CDS15	
NRRL_B-12102.region02	lanthipeptide-class-v	lanthipeptide-class-v, lanthipeptide-class-v	WP_127442865.1, WP_127442864.1	NRRL_B-12102.region02~L0+CDS21, NRRL_B-12102.region02~L0+CDS22	
NRRL_B-12102.region03	lanthipeptide-class-iii	lanthipeptide-class-iii	WP_127442841.1	NRRL_B-12102.region03~L0+CDS9	
NRRL_B-12102.region04	T3PKS	T3PKS	WP_030969077.1	NRRL_B-12102.region04~L0+CDS18	
NRRL_B-12102.region05	terpene	terpene	WP_191862377.1	NRRL_B-12102.region05~L0+CDS12	
NRRL_B-12102.region06	indole	indole	WP_127441925.1	NRRL_B-12102.region06~L0+CDS13	
NRRL_B-12102.region07	terpene	terpene, terpene, terpene	WP_127441946.1, WP_125536792.1, WP_030973607.1	NRRL_B-12102.region07~L0+CDS9, NRRL_B-12102.region07~L0+CDS11, NRRL_B-12102.region07~L0+CDS20	
NRRL_B-12102.region08	melanin	melanin	WP_185912789.1	NRRL_B-12102.region08~L0+CDS5	
NRRL_B-12102.region09	siderophore	siderophore	WP_127442411.1	NRRL_B-12102.region09~L0+CDS5	
NRRL_B-12102.region10	lanthipeptide-class-iii	lanthipeptide-class-iii	WP_127443116.1	NRRL_B-12102.region10~L0+CDS13	
NRRL_B-12102.region11	lanthipeptide-class-i	lanthipeptide-class-i, lanthipeptide-class-i	WP_127443136.1, WP_127443137.1	NRRL_B-12102.region11~L0+CDS10, NRRL_B-12102.region11~L0+CDS11	
NRRL_B-12102.region12	NRPS	NRPS, NRPS, NRPS	WP_191862484.1, WP_185912859.1, WP_127443152.1	NRRL_B-12102.region12~L0+CDS17, NRRL_B-12102.region12~L0+CDS18, NRRL_B-12102.region12~L0+CDS19	
NRRL_B-12102.region13	NRPS	NRPS	WP_127442777.1	NRRL_B-12102.region13~L0+CDS20	
NRRL_B-12102.region14	RiPP-like	RiPP-like	WP_127441402.1	NRRL_B-12102.region14~L0+CDS5	
NRRL_B-12102.region15	terpene	terpene	WP_031022222.1	NRRL_B-12102.region15~L0+CDS11	
NRRL_B-12102.region16	T1PKS	T1PKS, T1PKS, T1PKS	WP_191862543.1, WP_127441615.1	NRRL_B-12102.region16~L0+CDS1, NRRL_B-12102.region16~L0+CDS2, NRRL_B-12102.region16~L0+CDS3	
NRRL_B-12102.region17	terpene	terpene, terpene, terpene	WP_031020303.1, WP_162602154.1, WP_031020309.1	NRRL_B-12102.region17~L0+CDS10, NRRL_B-12102.region17~L0+CDS13, NRRL_B-12102.region17~L0+CDS14	
NRRL_B-12102.region18	T2PKS	T2PKS, T2PKS	WP_086878133.1, WP_125772650.1	NRRL_B-12102.region18~L0+CDS29, NRRL_B-12102.region18~L0+CDS30	
NRRL_B-12102.region19	terpene	terpene	WP_127441285.1	NRRL_B-12102.region19~L0+CDS10	
NRRL_B-12102.region20	terpene	terpene	WP_062133531.1	NRRL_B-12102.region20~L0+CDS10	
NRRL_B-12102.region21	RiPP-like	RiPP-like	WP_019327743.1	NRRL_B-12102.region21~L0+CDS3	
NRRL_B-12102.region22	siderophore	siderophore	WP_127441335.1	NRRL_B-12102.region22~L0+CDS4	
NRRL_B-12102.region23	NRPS-like, T1PKS, NRPS	NRPS, T1PKS, NRPS, NRPS, PKS-NRPS_hybrid, T1PKS	WP_127443175.1, WP_127443237.1, WP_127443172.1, WP_037909245.1, WP_127443166.1, WP_191862651.1	NRRL_B-12102.region23~L0+CDS20, NRRL_B-12102.region23~L0+CDS24, NRRL_B-12102.region23~L0+CDS25, NRRL_B-12102.region23~L0+CDS26, NRRL_B-12102.region23~L0+CDS41, NRRL_B-12102.region23~L0+CDS44	
NRRL_B-12102.region24	T1PKS	T1PKS	WP_191862708.1	NRRL_B-12102.region24~L0+CDS15	
NRRL_B-12102.region25	ectoine	ectoine	WP_019329312.1	NRRL_B-12102.region25~L0+CDS6	
NRRL_B-12102.region26	siderophore	siderophore, siderophore	WP_127441455.1, WP_127441456.1	NRRL_B-12102.region26~L0+CDS6, NRRL_B-12102.region26~L0+CDS7	
NRRL_B-12102.region27	NRPS	NRPS, NRPS	WP_185912697.1, WP_191862729.1	NRRL_B-12102.region27~L0+CDS17, NRRL_B-12102.region27~L0+CDS18	
NRRL_B-12102.region28	butyrolactone, NRPS	NRPS, NRPS, NRPS, NRPS, butyrolactone	WP_127441735.1, WP_127441734.1, WP_191862737.1, WP_031022862.1	NRRL_B-12102.region28~L0+CDS22, NRRL_B-12102.region28~L0+CDS31, NRRL_B-12102.region28~L0+CDS36, NRRL_B-12102.region28~L0+CDS37, NRRL_B-12102.region28~L0+CDS57	
NRRL_B-12102.region29	NRPS	NRPS	WP_191862759.1	NRRL_B-12102.region29~L0+CDS17	
NRRL_B-12102.region30	T1PKS	T1PKS, T1PKS, T1PKS	WP_191862764.1, WP_191862766.1, WP_191862768.1	NRRL_B-12102.region30~L0+CDS1, NRRL_B-12102.region30~L0+CDS2, NRRL_B-12102.region30~L0+CDS3	
NRRL_B-12102.region31	T2PKS	T2PKS, T2PKS, T2PKS, T2PKS	WP_031022574.1, WP_127441722.1, WP_127441718.1, WP_030970827.1	NRRL_B-12102.region31~L0+CDS7, NRRL_B-12102.region31~L0+CDS8, NRRL_B-12102.region31~L0+CDS20, NRRL_B-12102.region31~L0+CDS21	
NRRL_B-12102.region32	terpene	terpene, terpene	WP_127440924.1, WP_191862777.1	NRRL_B-12102.region32~L0+CDS3, NRRL_B-12102.region32~L0+CDS7	
NRRL_B-12102.region33	T1PKS	T1PKS, T1PKS	WP_191862785.1, WP_191862787.1	NRRL_B-12102.region33~L0+CDS1, NRRL_B-12102.region33~L0+CDS2	
NRRL_B-12102.region34	hglE-KS	hglE-KS, hglE-KS	WP_191862791.1, WP_127443077.1	NRRL_B-12102.region34~L0+CDS1, NRRL_B-12102.region34~L0+CDS2	
NRRL_B-12102.region35	T1PKS	T1PKS	WP_191862793.1	NRRL_B-12102.region35~L0+CDS1	
NRRL_B-12102.region36	T1PKS	T1PKS	WP_191862797.1	NRRL_B-12102.region36~L0+CDS2	
NRRL_B-12102.region37	NRPS	NRPS, NRPS	WP_191862801.1, WP_191862803.1	NRRL_B-12102.region37~L0+CDS1, NRRL_B-12102.region37~L0+CDS2	
NRRL_B-12102.region38	T1PKS	T1PKS	WP_191862809.1	NRRL_B-12102.region38~L0+CDS1	
NRRL_B-12102.region39	T1PKS	T1PKS	WP_191862811.1	NRRL_B-12102.region39~L0+CDS1	
NRRL_B-12102.region40	T1PKS	T1PKS	WP_191862813.1	NRRL_B-12102.region40~L0+CDS1	
NRRL_B-12102.region41	T1PKS	T1PKS	WP_191862816.1	NRRL_B-12102.region41~L0+CDS1	
NRRL_B-12102.region42	T1PKS	T1PKS	WP_191862820.1	NRRL_B-12102.region42~L0+CDS1	
