BGC	antiSMASH products	Core Biosynthetic Protein content	Core Biosynthetic Protein IDs	Core Biosynthetic Protein Identifiers	Metabolites
JCM4529.region01	lanthipeptide-class-iii	lanthipeptide-class-iii	WP_193515199.1	JCM4529.region01~L0+CDS13	
JCM4529.region02	lanthipeptide-class-i	lanthipeptide-class-i, lanthipeptide-class-i	WP_062137678.1, WP_193515213.1	JCM4529.region02~L0+CDS10, JCM4529.region02~L0+CDS11	
JCM4529.region03	NRPS	NRPS, NRPS, NRPS	WP_193515230.1, WP_193515231.1, WP_193515232.1	JCM4529.region03~L0+CDS16, JCM4529.region03~L0+CDS17, JCM4529.region03~L0+CDS18	
JCM4529.region04	NRPS	NRPS	WP_193515275.1	JCM4529.region04~L0+CDS20	
JCM4529.region05	RiPP-like	RiPP-like	WP_019327743.1	JCM4529.region05~L0+CDS3	
JCM4529.region06	terpene	terpene	WP_031015914.1	JCM4529.region06~L0+CDS12	
JCM4529.region07	NRPS-like	NRPS-like	WP_193515417.1	JCM4529.region07~L0+CDS16	
JCM4529.region07-checkpoint	NRPS-like	NRPS-like	WP_193515417.1	JCM4529.region07-checkpoint~L0+CDS16	
JCM4529.region08	PKS-like, lanthipeptide-class-v, furan	PKS-like, furan, lanthipeptide-class-v, lanthipeptide-class-v	WP_127433189.1, WP_127433186.1, WP_019324895.1, WP_019324896.1	JCM4529.region08~L0+CDS20, JCM4529.region08~L0+CDS28, JCM4529.region08~L0+CDS53, JCM4529.region08~L0+CDS54	
JCM4529.region09	lanthipeptide-class-iii	lanthipeptide-class-iii	WP_193515456.1	JCM4529.region09~L0+CDS9	
JCM4529.region10	terpene	terpene	WP_031022222.1	JCM4529.region10~L0+CDS9	
JCM4529.region11	RiPP-like	RiPP-like	WP_127433900.1	JCM4529.region11~L0+CDS6	
JCM4529.region12	siderophore	siderophore	WP_193515552.1	JCM4529.region12~L0+CDS4	
JCM4529.region13	terpene	terpene	WP_193515583.1	JCM4529.region13~L0+CDS12	
JCM4529.region14	indole	indole	WP_046250622.1	JCM4529.region14~L0+CDS13	
JCM4529.region15	siderophore	siderophore	WP_127434162.1	JCM4529.region15~L0+CDS5	
JCM4529.region16	melanin	melanin	WP_193515885.1	JCM4529.region16~L0+CDS6	
JCM4529.region17	T1PKS	T1PKS, T1PKS, T1PKS	WP_193515939.1, WP_193450364.1	JCM4529.region17~L0+CDS1, JCM4529.region17~L0+CDS2, JCM4529.region17~L0+CDS3	
JCM4529.region18	terpene	terpene, terpene, terpene	WP_046248604.1, WP_062135483.1, WP_193515922.1	JCM4529.region18~L0+CDS10, JCM4529.region18~L0+CDS13, JCM4529.region18~L0+CDS14	
JCM4529.region19	NRPS	NRPS, NRPS	WP_019328469.1, WP_031019366.1	JCM4529.region19~L0+CDS18, JCM4529.region19~L0+CDS40	
JCM4529.region20	T3PKS	T3PKS	WP_137960703.1	JCM4529.region20~L0+CDS18	
JCM4529.region21	lanthipeptide-class-i	lanthipeptide-class-i, lanthipeptide-class-i, lanthipeptide-class-i	WP_125537283.1, WP_125537282.1, WP_193516193.1	JCM4529.region21~L0+CDS14, JCM4529.region21~L0+CDS15, JCM4529.region21~L0+CDS16	
