BGC	antiSMASH products	Core Biosynthetic Protein content	Core Biosynthetic Protein IDs	Core Biosynthetic Protein Identifiers	Metabolites
SID8161.region01	terpene	terpene	WP_164285511.1	SID8161.region01~L0+CDS10	
SID8161.region02	lanthipeptide-class-i	lanthipeptide-class-i, lanthipeptide-class-i	WP_164286402.1, WP_164286405.1	SID8161.region02~L0+CDS1, SID8161.region02~L0+CDS2	
SID8161.region03	terpene	terpene	WP_062133531.1	SID8161.region03~L0+CDS5	
SID8161.region04	butyrolactone	butyrolactone	WP_164288106.1	SID8161.region04~L0+CDS6	
SID8161.region05	T1PKS	T1PKS, T1PKS	WP_164285568.1, WP_164285570.1	SID8161.region05~L0+CDS1, SID8161.region05~L0+CDS2	
SID8161.region06	T3PKS	T3PKS	WP_030969077.1	SID8161.region06~L0+CDS12	
SID8161.region07	NRPS	NRPS	WP_164286579.1	SID8161.region07~L0+CDS1	
SID8161.region08	hglE-KS	hglE-KS		SID8161.region08~L0+CDS2	
SID8161.region09	NRPS	NRPS	WP_164287282.1	SID8161.region09~L0+CDS1	
SID8161.region10	NRPS	NRPS	WP_164285208.1	SID8161.region10~L0+CDS2	
SID8161.region11	lanthipeptide-class-iii	lanthipeptide-class-iii	WP_164289131.1	SID8161.region11~L0+CDS1	
SID8161.region12	lanthipeptide-class-i	lanthipeptide-class-i, lanthipeptide-class-i	WP_164285589.1, WP_164285591.1	SID8161.region12~L0+CDS7, SID8161.region12~L0+CDS8	
SID8161.region13	terpene	terpene	WP_164286678.1	SID8161.region13~L0+CDS2	
SID8161.region14	terpene	terpene	WP_030973607.1	SID8161.region14~L0+CDS2	
SID8161.region15	terpene	terpene	WP_164287559.1	SID8161.region15~L0+CDS3	
SID8161.region16	T2PKS	T2PKS, T2PKS	WP_164288174.1, WP_019326887.1	SID8161.region16~L0+CDS1, SID8161.region16~L0+CDS2	
SID8161.region17	PKS-like	PKS-like	WP_164284712.1	SID8161.region17~L0+CDS3	
SID8161.region18	NRPS-like	NRPS-like	WP_164290158.1	SID8161.region18~L0+CDS1	
SID8161.region19	NRPS-like	NRPS-like	WP_164288479.1	SID8161.region19~L0+CDS1	
SID8161.region20	terpene	terpene	WP_031022222.1	SID8161.region20~L0+CDS1	
SID8161.region21	T1PKS	T1PKS	WP_164286682.1	SID8161.region21~L0+CDS1	
SID8161.region22	T2PKS	T2PKS, T2PKS	WP_164287224.1, WP_164287226.1	SID8161.region22~L0+CDS5, SID8161.region22~L0+CDS6	
SID8161.region23	ectoine	ectoine	WP_019329312.1	SID8161.region23~L0+CDS6	
SID8161.region24	T2PKS	T2PKS, T2PKS	WP_164289359.1, WP_164289361.1	SID8161.region24~L0+CDS6, SID8161.region24~L0+CDS7	
SID8161.region25	NRPS	NRPS, NRPS, NRPS	WP_164290087.1, WP_164290089.1, WP_164290091.1	SID8161.region25~L0+CDS1, SID8161.region25~L0+CDS2, SID8161.region25~L0+CDS3	
SID8161.region26	T1PKS	T1PKS	WP_164286686.1	SID8161.region26~L0+CDS1	
SID8161.region27	T1PKS	T1PKS	WP_164288197.1	SID8161.region27~L0+CDS1	
SID8161.region28	NRPS	NRPS	WP_164286819.1	SID8161.region28~L0+CDS1	
SID8161.region29	T1PKS	T1PKS	WP_164286565.1	SID8161.region29~L0+CDS1	
SID8161.region30	siderophore	siderophore	WP_164284882.1	SID8161.region30~L0+CDS1	
SID8161.region31	RiPP-like	RiPP-like	WP_019327743.1	SID8161.region31~L0+CDS2	
SID8161.region32	siderophore	siderophore	WP_164287932.1	SID8161.region32~L0+CDS5	
SID8161.region33	siderophore	siderophore, siderophore	WP_164290363.1, WP_125772378.1	SID8161.region33~L0+CDS4, SID8161.region33~L0+CDS5	
SID8161.region34	NRPS	NRPS	WP_164285128.1	SID8161.region34~L0+CDS1	
SID8161.region35	NRPS	NRPS	WP_164290012.1	SID8161.region35~L0+CDS1	
SID8161.region36	indole	indole	WP_164289790.1	SID8161.region36~L0+CDS7	
SID8161.region37	T1PKS	T1PKS	WP_164285261.1	SID8161.region37~L0+CDS1	
SID8161.region38	NRPS	NRPS, NRPS	WP_164287476.1	SID8161.region38~L0+CDS1, SID8161.region38~L0+CDS2	
SID8161.region39	NRPS	NRPS	WP_164287480.1	SID8161.region39~L0+CDS1	
SID8161.region40	T1PKS	T1PKS	WP_164284584.1	SID8161.region40~L0+CDS1	
SID8161.region41	T1PKS	T1PKS	WP_164286051.1	SID8161.region41~L0+CDS1	
SID8161.region42	T1PKS	T1PKS, T1PKS, T1PKS, T1PKS, T1PKS	WP_164289539.1, WP_164289553.1, WP_164289555.1, WP_164289541.1, WP_164289543.1	SID8161.region42~L0+CDS5, SID8161.region42~L0+CDS6, SID8161.region42~L0+CDS7, SID8161.region42~L0+CDS8, SID8161.region42~L0+CDS9	
SID8161.region43	T1PKS	T1PKS	WP_164288382.1	SID8161.region43~L0+CDS1	
SID8161.region44	T1PKS	T1PKS	WP_164289305.1	SID8161.region44~L0+CDS1	
SID8161.region45	NRPS	NRPS	WP_164286276.1	SID8161.region45~L0+CDS1	
SID8161.region46	indole	indole	WP_164286743.1	SID8161.region46~L0+CDS5	
SID8161.region47	NRPS	NRPS	WP_164288875.1	SID8161.region47~L0+CDS1	
