BGC	Core Biosynthetic Protein type	Protein identifier	Protein Id	Gene Id	Domain architecture
NRRL_B-2410.region01	terpene	NRRL_B-2410.region01~L0+CDS10	WP_046248604.1	shc	SQ_hopN | SQ_hopC >
NRRL_B-2410.region01	terpene	NRRL_B-2410.region01~L0+CDS13	WP_162602154.1	hpnD	SQS_PSY >
NRRL_B-2410.region01	terpene	NRRL_B-2410.region01~L0+CDS14	WP_086875238.1	hpnC	SQS_PSY >
NRRL_B-2410.region02	hglE-KS	NRRL_B-2410.region02~L0+CDS1			KS | KS_C | KS_Ce | AT >
NRRL_B-2410.region03	terpene	NRRL_B-2410.region03~L0+CDS12	WP_086875329.1	uppS	SQS_PSY | Prenyltransf >
NRRL_B-2410.region04	terpene	NRRL_B-2410.region04~L0+CDS9	WP_019324140.1		SQS_PSY >
NRRL_B-2410.region04	terpene	NRRL_B-2410.region04~L0+CDS11	WP_019324138.1		LycC >
NRRL_B-2410.region05	NRPS	NRRL_B-2410.region05~L0+CDS17	WP_143668940.1		C | A | A_C | T/ACP | C | A | A_C | T/ACP | C | A | A_C | T/ACP | C | C | A >
NRRL_B-2410.region06	siderophore	NRRL_B-2410.region06~L0+CDS2			IucA_IucC | FhuF >
NRRL_B-2410.region07	lanthipeptide-class-iii	NRRL_B-2410.region07~L0+CDS9	WP_086875503.1		Pkinase >
NRRL_B-2410.region08	NRPS	NRRL_B-2410.region08~L0+CDS2	WP_086875734.1		A | A_C | T/ACP | C | C | A | A_C | T/ACP | C | C | A | A_C | T/ACP >
NRRL_B-2410.region09	T1PKS	NRRL_B-2410.region09~L0+CDS1	WP_143668946.1		KR | T/ACP | KS | KS_C | KS_Ce | AT | DH >
NRRL_B-2410.region10	T1PKS	NRRL_B-2410.region10~L0+CDS1	WP_143668948.1		T/ACP | KS | KS_C | KS_Ce | AT | PKS_DE | KR | T/ACP | KS | KS_C | KS_Ce | AT >
NRRL_B-2410.region11	siderophore	NRRL_B-2410.region11~L0+CDS5	WP_086875853.1		IucA_IucC | FhuF >
NRRL_B-2410.region12	NRPS	NRRL_B-2410.region12~L0+CDS1	WP_158101619.1		C | A | A_C | T/ACP | C >
NRRL_B-2410.region12	NRPS	NRRL_B-2410.region12~L0+CDS2	WP_143668955.1		C | A | A_C | T/ACP | C >
NRRL_B-2410.region13	RiPP-like	NRRL_B-2410.region13~L0+CDS6	WP_086876023.1		DUF692 >
NRRL_B-2410.region14	ectoine	NRRL_B-2410.region14~L0+CDS5	WP_019329312.1		Ectoine_synth >
NRRL_B-2410.region15	siderophore	NRRL_B-2410.region15~L0+CDS1	WP_086876130.1		IucA_IucC | FhuF >
NRRL_B-2410.region15	siderophore	NRRL_B-2410.region15~L0+CDS2	WP_086876131.1		IucA_IucC | FhuF >
NRRL_B-2410.region16	terpene	NRRL_B-2410.region16~L0+CDS4	WP_019326013.1		Terpene_syn_C_2 | Terpene_syn_C_2 >
NRRL_B-2410.region17	T1PKS	NRRL_B-2410.region17~L0+CDS1	WP_143668959.1		T/ACP | KS | KS_C | KS_Ce | AT | PKS_DE | KR | T/ACP | KS | KS_C | KS_Ce | AT | DH | ER >
NRRL_B-2410.region18	terpene	NRRL_B-2410.region18~L0+CDS11	WP_167545984.1		Terpene_syn_C_2 >
NRRL_B-2410.region19	terpene	NRRL_B-2410.region19~L0+CDS3	WP_046250018.1		LycC >
NRRL_B-2410.region19	terpene	NRRL_B-2410.region19~L0+CDS7	WP_086876290.1		SQS_PSY >
NRRL_B-2410.region20	indole	NRRL_B-2410.region20~L0+CDS7	WP_037900498.1		DMAT >
NRRL_B-2410.region21	T2PKS	NRRL_B-2410.region21~L0+CDS3	WP_086876378.1		KS | KS_C >
NRRL_B-2410.region21	T2PKS	NRRL_B-2410.region21~L0+CDS4	WP_031022574.1		KS | KS_C >
NRRL_B-2410.region21	butyrolactone	NRRL_B-2410.region21~L0+CDS12			AfsA >
NRRL_B-2410.region22	RiPP-like	NRRL_B-2410.region22~L0+CDS3	WP_019327743.1		 >
NRRL_B-2410.region23	T3PKS	NRRL_B-2410.region23~L0+CDS21	WP_030969077.1		ChS_N | ChS_C >
NRRL_B-2410.region24	NRPS-like	NRRL_B-2410.region24~L0+CDS22	WP_086876588.1		A | A_C | T/ACP | TE >
NRRL_B-2410.region25	lassopeptide	NRRL_B-2410.region25~L0+CDS13	WP_046248671.1		Asn_synthase >
NRRL_B-2410.region25	lassopeptide	NRRL_B-2410.region25~L0+CDS15	WP_078495259.1		Transglut_core3 >
NRRL_B-2410.region25	RRE-containing	NRRL_B-2410.region25~L0+CDS14	WP_019330917.1		PqqD >
NRRL_B-2410.region26	NRPS	NRRL_B-2410.region26~L0+CDS1	WP_143668993.1		C | A | A_C | T/ACP >
NRRL_B-2410.region27	T1PKS	NRRL_B-2410.region27~L0+CDS11	WP_086876765.1		Docking | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP >
NRRL_B-2410.region27	T1PKS	NRRL_B-2410.region27~L0+CDS12	WP_086876767.1		Docking | KS | KS_C | KS_Ce | AT | KR | T/ACP >
NRRL_B-2410.region27	T1PKS	NRRL_B-2410.region27~L0+CDS13	WP_143668995.1		Docking | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP | KS | KS_C | KS_Ce | AT >
NRRL_B-2410.region28	T1PKS	NRRL_B-2410.region28~L0+CDS1	WP_086876878.1		KS | KS_C | KS_Ce | AT | DH | KR | T/ACP >
NRRL_B-2410.region28	PKS-NRPS_hybrid	NRRL_B-2410.region28~L0+CDS4	WP_086876882.1		A | A_C | T/ACP | KS | KS_C | KS_Ce | AT | T/ACP >
NRRL_B-2410.region29	indole	NRRL_B-2410.region29~L0+CDS11	WP_086876926.1		DMAT >
NRRL_B-2410.region30	lanthipeptide-class-iii	NRRL_B-2410.region30~L0+CDS2	WP_086877230.1		Pkinase | LANC_like >
NRRL_B-2410.region31	T1PKS	NRRL_B-2410.region31~L0+CDS1	WP_143669009.1		AT | PKS_DE | KR | T/ACP | KS | KS_C | KS_Ce >
NRRL_B-2410.region32	T1PKS	NRRL_B-2410.region32~L0+CDS1	WP_143669010.1		Docking | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP | KS | KS_C | KS_Ce >
NRRL_B-2410.region33	T1PKS	NRRL_B-2410.region33~L0+CDS1	WP_143669011.1		T/ACP | KS | KS_C | KS_Ce | AT | DH | ER >
NRRL_B-2410.region34	T1PKS	NRRL_B-2410.region34~L0+CDS1	WP_143669012.1		KS | KS_C | KS_Ce | AT | DH | DH >
NRRL_B-2410.region35	furan	NRRL_B-2410.region35~L0+CDS11	WP_037906690.1		AvrD >
NRRL_B-2410.region36	terpene	NRRL_B-2410.region36~L0+CDS11	WP_019327717.1		Terpene_syn_C_2 >
NRRL_B-2410.region37	NRPS	NRRL_B-2410.region37~L0+CDS1	WP_143669021.1		C | A >
NRRL_B-2410.region37	NRPS	NRRL_B-2410.region37~L0+CDS2	WP_143669022.1		C | A | A_C | T/ACP | C >
NRRL_B-2410.region38	NRPS	NRRL_B-2410.region38~L0+CDS1	WP_143669023.1		C | A >
NRRL_B-2410.region39	T1PKS	NRRL_B-2410.region39~L0+CDS5	WP_143669033.1		T/ACP | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP | KS | KS_C | KS_Ce | AT >
NRRL_B-2410.region40	T2PKS	NRRL_B-2410.region40~L0+CDS5	WP_029394634.1		KS | KS_C >
NRRL_B-2410.region40	T2PKS	NRRL_B-2410.region40~L0+CDS6	WP_019330943.1		KS | KS_C >
NRRL_B-2410.region41	terpene	NRRL_B-2410.region41~L0+CDS8	WP_086878104.1		Terpene_syn_C_2 >
NRRL_B-2410.region42	T2PKS	NRRL_B-2410.region42~L0+CDS12	WP_086878131.1		KS | KS_C >
NRRL_B-2410.region42	T2PKS	NRRL_B-2410.region42~L0+CDS13	WP_086878133.1		KS | KS_C >
NRRL_B-2410.region43	T1PKS	NRRL_B-2410.region43~L0+CDS2	WP_143669044.1		Docking | KS | KS_C | KS_Ce | AT | DH | KR | T/ACP | KS | KS_C | KS_Ce | AT >
NRRL_B-2410.region44	NRPS-like	NRRL_B-2410.region44~L0+CDS1	WP_086878350.1		A | A_C | T/ACP >
NRRL_B-2410.region45	lanthipeptide-class-i	NRRL_B-2410.region45~L0+CDS2	WP_086878431.1		LANC_like >
NRRL_B-2410.region45	lanthipeptide-class-i	NRRL_B-2410.region45~L0+CDS3	WP_086878432.1		Lant_dehydr_N | Lant_dehydr_C >
NRRL_B-2410.region46	PKS-NRPS_hybrid	NRRL_B-2410.region46~L0+CDS1			KS | KS_C | KS_Ce | KS | AT >
NRRL_B-2410.region47	T1PKS	NRRL_B-2410.region47~L0+CDS2	WP_086878526.1		Docking | KS | KS_C | KS_Ce | AT | DH | T/ACP | TE >
NRRL_B-2410.region48	NRPS	NRRL_B-2410.region48~L0+CDS2	WP_019327214.1		A >
NRRL_B-2410.region48	NRPS	NRRL_B-2410.region48~L0+CDS3	WP_086878560.1		T/ACP | C >
NRRL_B-2410.region49	T1PKS	NRRL_B-2410.region49~L0+CDS1	WP_143669132.1		Docking | KS | KS_C | KS_Ce | AT | DH >
NRRL_B-2410.region49	T1PKS	NRRL_B-2410.region49~L0+CDS2	WP_143669133.1		KR | T/ACP | KS | KS_C | KS_Ce | AT | PKS_DE | KR | T/ACP >
NRRL_B-2410.region50	NRPS-like	NRRL_B-2410.region50~L0+CDS3	WP_143669160.1		A | KR | T/ACP >
NRRL_B-2410.region51	T1PKS	NRRL_B-2410.region51~L0+CDS1	WP_143669170.1		AT | PKS_DE | KR | T/ACP | KS | KS_C | KS_Ce | AT | DH >
